계정핸들,계정명,콘텐츠결,활동지역,지역적합도,팔로워수,좋아요_1,좋아요_2,좋아요_3,좋아요_4,좋아요_5,좋아요_6,좋아요_7,좋아요_8,좋아요_9,댓글_1,댓글_2,댓글_3,댓글_4,댓글_5,댓글_6,댓글_7,댓글_8,댓글_9,발견태그,메모
@keemdarae,다래,일반카페,서울+전국(연희동·서산·서해),인접,3308,369,129,,,,,,,,20,18,10,26,,,,,,#연희동카페,연희동 브런치 소개 이력. 단 패션 #광고 게시물 다수. 최근글 좋아요 비공개
@ssu_h_k,쑤현 cafetour,디저트,서울 전역 카페투어(연희 포함),인접,23000,532,597,731,,,,,,,10,20,28,28,31,,,,,#연희동카페,카페 콘텐츠 100%. 지역별 #쑤현_지역명 정리. 협찬 경험(#제품제공)
@bossssss_s,보스 BOSS,디저트,전국(용리단길·대전 등),같은시구,11000,,,,,,,,,,32,21,,,,,,,,#연희동카페,게시물 2건 확인 — 좋아요 전부 비공개. ER 검증 불가
@__jumini,주미니(인증),일반카페,서울(연희동 한바퀴 콘텐츠),인접,92000,49,,,,,,,,,,,,,,,,,,미묘 태그됨,인증계정+유튜브. 9.2만은 광역 유입 위험(좌석 포화 악화)
@kimssangmin,김상민,일반카페,서울(연희동 나들이 코스),인접,4265,56,,,,,,,,,2,,,,,,,,,미묘 태그됨,연희동 코스 큐레이션. 참여도 낮음
@crepeclubmag,크크매거진,디저트,서울(연희동 포함 플레이스 매거진),인접,328,,,,,,,,,,5,,,,,,,,,미묘 태그됨,디저트·플레이스 큐레이션 매거진. 좋아요 비공개. 신생(게시물 60)
